hammering hammer
cabbage cabbage
reductant reduce
recission rescind
yellow yellow
correspondence correspond
adjournment adjourn
amalgam amalgamate
escalade escalade
divestiture divest
complainant complain
selection select
liquidator liquidate
excellence excel
punch punch
dueller duel
dateline dateline
commendation commend
claw claw
carmine carmine
lasso lasso
curtsy curtsy
operation operate
tee tee
dissociation dissociate
vanishing vanish
snuffer snuff_out
win win
studying study
elbow elbow
misgovernment misgovern
malingering malinger
prevaricator prevaricate
deification deify
convolution convolve
mutation mutate
forking fork
postponement postpone
massage massage
allayer allay
teleportation teleport
desecration desecrate
normalization normalize
pigeonhole pigeonhole
overreaction overreact
petter pet
etching etch
answer answer
holiday holiday
recantation recant
investigation investigate
steamroller steamroll
recipient receive
leaper leap
addition add
canulization cannulate
spouter spout
disposal dispose
hash hash
wheeler wheel
allotment allot
ossification ossify
fibrillation fibrillate
excerpt excerpt
modifier modify
effect effectuate
remnant remain
aggregator aggregate
swoop swoop
alliterator alliterate
bereavement bereave
dowse dowse
poise poise
abetter abet
furnishing furnish
slacker slack
deviltry devil
hustle hustle
facilitation facilitate
fat fat
gash gash
traveler travel
recitation recite
knitting knit
emitter emit
enamel enamel
legitimacy legitimate
abortion abort
suppuration suppurate
disfavor disfavor
syllable syllabize
syllogism syllogise
peeling peel
extrapolation extrapolate
single single
ruler rule
want want
collective collectivize
bioassay bioassay
disunion disunite
edger edge
yodeller yodel
horse horse
disgruntlement disgruntle
lunge lunge
critic criticize
flank flank
widening widen
mar mar
character character
inquirer inquire
subjugator subjugate
mambo mambo
adaption adapt
bisection bisect
dowsing dowse
decipherment decipher
sanitisation sanitise
labor labor
ditch ditch
wrestle wrestle
surfacing surface
write-down write_down
surfer surf
chipping chip
worsening worsen
moo moo
deep-freeze deep_freeze
wrestler wrestle
abatement abate
interdependence interdepend
logging log
dream dream
immurement immure
regimentation regiment
scansion scan
farming farm
devitalization devitalize
definition define
humiliation humiliate
impression impress
specializer specialize
murderer murder
belief believe
illustrator illustrate
sojourn sojourn
scam scam
putty putty
wording word
skim skim
railing rail
relaxant relax
exhilaration exhilarate
perseverance persevere
treat treat
deflector deflect
peddling peddle
refinement refine
sputtering sputter
reintroduction reintroduce
inclination incline
cooperation cooperate
worriment worry
dwelling dwell
reposition reposit
shout shout
abjurer abjure
meddler meddle
Redeemer redeem
loathing loathe
mimic mimic
abdicator abdicate
broil broil
foliation foliate
draft draft
desensitization desensitize
mixer mix
gambling gamble
name name
fracture fracture
pigmentation pigment
ting ting
porter port
flood flood
photocopy photocopy
bailor bail
composition compose
skateboarding skateboard
pressure pressure
quaker quake
complaint complain
blare blare
penalty penalise
scraper scrape
handler handle
hoaxer hoax
capon caponise
wheel wheel
vestment vest
float float
cookout cook_out
summit summit
splicing splice
gong gong
knot knot
sapper sap
aberration aberrate
reputation repute
bribery bribe
yawning yawn
spitter spit
disdain disdain
throbbing throb
motivator motivate
tote tote
fantasy fantasy
dominance dominate
recruit recruit
venture venture
romanticization romanticize
knight knight
pantomimist pantomime
utility utilize
randomization randomize
conveyance convey
face-off face_off
disfavour disfavour
journeyer journey
mounter mount
commissioner commission
caress caress
filibusterer filibuster
provisioner provision
gutter gut
confessor confess
batting bat
baptism baptise
Evert evert
indulging indulge
treasure treasure
shattering shatter
discontinuation discontinue
destalinisation destalinise
implement implement
cry cry
exception except
deactivation deactivate
husking husk
pall pall
germ germinate
president preside
grantee grant
bluing blue
buyback buy_back
performer perform
tensor tense
disguise disguise
nitrous_acid nitrify
ouster oust
razzing razz
genuflection genuflect
untier untie
movement move
starvation starve
tapering taper
splattering splatter
wax wax
compartment compartmentalise
blubberer blubber
zero zero
enactment enact
dawdler dawdle
grumbling grumble
synthesizer synthesize
demobilisation demobilise
immunization immunize
preclusion preclude
pampering pamper
rail rail
schedule schedule
squelch squelch
concoction concoct
turtler turtle
distillation distill
underrating underrate
anesthetic anesthetise
goose_step goose_step
page paginate
stalking stalk
spanker spank
sting sting
writing write
legitimation legitimate
inciter incite
coloniser colonise
abrogation abrogate
dredge dredge
contest contest
spot-weld spot-weld
coalition coalesce
engraving engrave
climax climax
annoyer annoy
contusion contuse
fish fish
stupefaction stupefy
cheat cheat
wirer wire
repugnance repugn
cat cat
demurral demur
starer stare
defining define
seasoner season
reinforcement reinforce
coronation coronate
solidifying solidify
superposition superpose
diphthong diphthongize
ravishment ravish
lumper lump
deforestation deforest
putting putt
insurance insure
rumen ruminate
salvage salve
tacking tack
unit unify
soap saponify
hassle hassle
lagger lag
wheeze wheeze
authenticator authenticate
finishing finish
addiction addict
Bolshevik bolshevize
tranquillizer tranquillize
stereotype stereotype
hoe hoe
denaturant denature
paste paste
polymer polymerize
scintilla scintillate
contribution contribute
grudge grudge
fart fart
pause pause
empathy empathise
motorcycle motorcycle
conduction conduct
holding hold
junction join
abolition abolish
mope mope
specialisation specialise
abator abate
trance trance
vaporization vaporize
pipage pipe
wheedler wheedle
roll roll
hydration hydrate
publishing publish
sense sense
coiner coin
bulletin bulletin
entitlement entitle
scandalization scandalize
stopper stopper
imitator imitate
beaver beaver
shingling shingle
asseveration asseverate
luxation luxate
nipper nip
curing cure
cackle cackle
scoffer scoff
plundering plunder
inoculation inoculate
wrinkle wrinkle
gush gush
obliteration obliterate
haggler haggle
ambuscade ambuscade
wonderer wonder
Scotch_tape scotch_tape
carry-over carry_over
bar_mitzvah bar_mitzvah
navigation navigate
quack quack
dropkicker dropkick
occupant occupy
Devil devilize
constipation constipate
materialization materialize
bitter bitter
hyperventilation hyperventilate
verbalizer verbalize
intimidation intimidate
sheet sheet
break_dance break_dance
Bolshevik bolshevise
suggestion suggest
leaner lean
freelancer freelance
grapple grapple
carbon carburize
assibilation assibilate
manufacturer manufacture
pompadour pompadour
interspersion intersperse
pillage pillage
manipulator manipulate
composure compose
beat beat
composing compose
will will
examinee examine
squatter squat
sounding sound
illuminant illuminate
thickener thicken
constitution constitute
joggle joggle
upholder uphold
minstrel minstrel
burrow burrow
carpet_bombing carpet_bomb
prosecutor prosecute
reprobation reprobate
compiling compile
tingling tingle
bore bore
reprieve reprieve
ingestion ingest
painting paint
fancy fancy
hooker hook
traffic traffic
purveyance purvey
enslavement enslave
precipitator precipitate
blowup blow_up
sheeting sheet
washing wash
moorage moor
calcium calcify
shaving shave
express express
jeer jeer
retraining retrain
strain strain
thwarting thwart
press press
double_stitch double_stitch
ravelling ravel
execution execute
colony colonise
sluice sluice
perfume perfume
hare hare
shaver shave
lam lam
urine urinate
refutation refute
facsimile facsimile
re-afforestation re-afforest
prejudice prejudice
kickoff kick_off
plash plash
simulator simulate
latch latch
requital requite
disparagement disparage
refueling refuel
overproduction overproduce
bumper bump
snail snail
examiner examine
carrier carry
pargetting parget
percher perch
grafting graft
cart cart
pickings pick
ploughing plough
vent vent
spritz spritz
base basify
archive archive
reform reform
disappearing disappear
functionary function
catechism catechise
simulation simulate
slack slack
binge binge
drumming drum
aeration aerate
mumble mumble
poet poetize
defecator defecate
hijacking hijack
ice ice
violator violate
veneering veneer
grill grill
harmony harmonize
shutdown shut_down
guessing guess
recusation recuse
focus focus
expenditure expend
readying ready
twinkler twinkle
malt malt
assonance assonate
racing race
cauterisation cauterise
travelling travel
constrictor constrict
wrack wrack
front front
disgrace disgrace
weeder weed
nutrient nutrify
gesture gesticulate
adder add
dart dart
shutter shutter
gas gasify
driving drive
scald scald
translocation translocate
sentimentalisation sentimentalise
blinder blind
caster cast
frequenter frequent
miscount miscount
federation federate
gobbler gobble
favor favor
cash cash
raise raise
ailment ail
longer long
indulgence indulge
taste taste
insulation insulate
optimisation optimise
preparation prepare
curb curb
disintegration disintegrate
mythology mythologize
revelry revel
misapplication misapply
striping stripe
sandpaper sandpaper
merchandising merchandise
substituting substitute
jaundice jaundice
abduction abduct
sabotage sabotage
squeaker squeak
remake remake
submitter submit
kiss kiss
solemnisation solemnise
pump pump
sign signify
submariner submarine
ornamentation ornament
gripe gripe
aluminum aluminize
philosophizer philosophize
instrumentation instrument
show show
figuration figure
attestant attest
compliment compliment
catch catch
stumble stumble
balloonist balloon
arbor arborize
jubilation jubilate
saint saint
decor decorate
wring wring
sup sup
reactant react
vulgarizer vulgarize
propulsion propel
admiration admire
worrier worry
spread spread
roasting roast
master master
desegregation desegregate
sulfur sulfur
flit flit
orderer order
skirmish skirmish
ascent ascend
roleplaying roleplay
denazification denazify
significance signify
canon canonise
claxon claxon
service service
aluminum aluminise
inclining incline
restoration restore
transferral transfer
scrutiniser scrutinise
attenuator attenuate
standard stand
content contain
clock clock
reckoning reckon
origin originate
tinting tint
eavesdropper eavesdrop
ward ward
think think
making make
saline salinate
drizzle drizzle
church church
jeering jeer
provocation provoke
resume resume
rouge rouge
spice spice
roamer roam
harassment harass
ski_jumping ski_jump
reshuffling reshuffle
defendant defend
rammer ram
smacker smack
gradation grade
renting rent
one-step one-step
reliance rely
magnification magnify
allocation allocate
dispersion disperse
singing sing
claim claim
rustler rustle
realisation realise
deaf deaf
letup let_up
snowboarder snowboard
buffer buff
subverter subvert
walk walk
colonisation colonise
mob mob
hound hound
trust trust
cudgel cudgel
grappler grapple
countermand countermand
cautery cauterise
discipline discipline
urination urinate
lull lull
commentator commentate
gull gull
convict convict
bribe bribe
jutting jut
emphasizing emphasize
bucket bucket
breakage break
vocalizer vocalize
roller-skater roller_skate
fulfilment fulfil
entree enter
postulator postulate
portraitist portray
integrating integrate
proportion proportion
sloganeer sloganeer
circular circulate
compressing compress
classifier classify
detergency deterge
flag flag
twitterer twitter
overwork overwork
backer back
squeal squeal
trip-up trip_up
strangling strangle
rootage root
depravity deprave
deodorant deodorize
swagger swagger
rigging rig
approbation approbate
compliance comply
giggle giggle
detergent deterge
attention attend
perennation perennate
absorbent absorb
drifting drift
captivation captivate
nibble nibble
entrance enter
supervising supervise
hap hap
signal signalize
thriller thrill
backpack backpack
spoilation spoil
caterwaul caterwaul
waste waste
philosophiser philosophise
immobilisation immobilise
overexploitation overexploit
franchise franchise
discourse discourse
softening soften
jail jail
forbiddance forbid
nap nap
hardening harden
orchestration orchestrate
dumper dump
underseller undersell
follower follow
ladder ladder
speech speak
heave heave
parget parget
bleat bleat
untangling untangle
motley motley
worker work
swarm swarm
enlisting enlist
steel steel
jostle jostle
biter bite
wobble wobble
vivification vivify
depressant depress
feller fell
suspender suspend
revolution revolve
chord chord
profiteer profiteer
gassing gas
bomb bomb
decoding decode
rescission rescind
quote quote
quarreller quarrel
closeout close_out
folder fold
dissolution dissolve
remark remark
riposte riposte
overturn overturn
inunction inunct
obtention obtain
lavage lave
daydreamer daydream
call-in call_in
seeing see
deserter desert
muss muss
capsule capsulise
planning plan
whirl whirl
postmark postmark
force force
gun gun
mechanisation mechanise
deferral defer
crayon crayon
rearing rear
enlarger enlarge
punter punt
slam_dunk slam-dunk
perspiration perspire
fumble fumble
warp warp
befuddlement befuddle
exhumation exhume
hachure hatch
grooving groove
typewriter typewrite
tumbling tumble
convolution convolute
repair repair
toy toy
festering fester
enhancement enhance
decontamination decontaminate
mystification mystify
advancer advance
disfiguration disfigure
urgency urge
dowser dowse
assimilator assimilate
winnings win
reeler reel
canulation canulate
capon caponize
fetish fetishize
renegade renegade
reverence reverence
slop slop
expectorator expectorate
proof proof
tarmac tarmac
rime rime
interloper interlope
kisser kiss
flavour flavour
affright affright
broadcaster broadcast
reject reject
thrusting thrust
leave leave
lion lionize
feedback feed_back
tendency tend
fib fib
tolerance tolerate
elimination eliminate
subsumption subsume
combatant combat
shrimper shrimp
reamer ream
predisposition predispose
autopsy autopsy
application apply
panderer pander
ministration minister
file file
synchronising synchronise
encompassment encompass
tonsure tonsure
renewal renew
letterer letter
pronator pronate
takeoff take_off
vindicator vindicate
traverser traverse
Pasteur pasteurise
shield shield
resin resinate
prostitution prostitute
umpirage umpire
cleanser cleanse
plunk plunk
defection defect
carbon carbonise
razor razor
strayer stray
simmer simmer
constitution constitutionalize
collective collectivise
vibrator vibrate
elucidation elucidate
thatch thatch
refuter refute
upending upend
furcation furcate
soaker soak
grumbler grumble
tube tube
schooling school
worrying worry
hit hit
elevation elevate
blowout blow_out
oxidant oxidise
decline decline
mending mend
fatigue fatigue
hemorrhage hemorrhage
convulsion convulse
pusher push
remilitarisation remilitarise
soldering solder
founder found
ululation ululate
confabulation confabulate
tan tan
send-off send_off
pensioner pension
reminiscence reminisce
size size
matriculate matriculate
circular circularize
decentralization decentralize
barbarisation barbarise
telephone telephone
rumour rumour
alphabet alphabetize
vomit vomit
wail wail
drawl drawl
alphabet alphabetise
tramper tramp
entrancement entrance
minimum minimise
stratification stratify
yearner yearn
sprinter sprint
pursuer pursue
ravel ravel
plagiarization plagiarize
vaticination vaticinate
utilization utilize
walker walk
equalisation equalise
overworking overwork
disinfection disinfect
scalper scalp
organization organize
hand hand
ice-skater ice_skate
perversion pervert
confiscation confiscate
formatting format
checkout check_out
vesture vest
stammer stammer
pervert pervert
bank bank
travail travail
concurrence concur
have have
bootleg bootleg
prehension prehend
weave weave
roofer roof
mumbler mumble
eagle eagle
suturing suture
exclamation exclaim
underline underline
sole sole
disagreement disagree
spellbinder spellbind
treatment treat
elicitation elicit
meeter meet
democracy democratize
prod prod
mollycoddle mollycoddle
sightseeing sightsee
partitionist partition
mixing mix
bromine bromate
defusing defuse
wooing woo
stirring stir
bobber bob
sensitisation sensitise
voidance void
parting part
meditation meditate
girth girth
deputy deputise
capsule capsulate
transferor transfer
bushing bush
handshake shake_hands
victimizer victimize
resurrection resurrect
chock chock
retailer retail
dramatist dramatize
selector select
fine fine
rock rock
subdivision subdivide
piffle piffle
raiser raise
underpayment underpay
cream cream
theorization theorize
stealer steal
dupe dupe
gather gather
bootlegger bootleg
allure allure
garment garment
staining stain
presentment present
dun dun
spirt spirt
liberation liberate
electroplate electroplate
scoring score
hammer hammer
oscillation oscillate
warrantee warrant
oxidisation oxidise
underwriter underwrite
misalliance misally
skank skank
absolution absolve
flick flick
terminus terminate
freight freight
casting cast
desertion desert
chirrup chirrup
frustration frustrate
stabber stab
saponification saponify
conjugation conjugate
beggary beg
trash trash
screeching screech
quickener quicken
recombination recombine
comeback come_back
frock frock
gelatin gelatinize
bum bum
variance vary
trot trot
caterer cater
wader wade
syndicator syndicate
maltreater maltreat
demolishing demolish
nasalisation nasalise
ratiocinator ratiocinate
remuneration remunerate
reign reign
scuff scuff
equation equate
renouncement renounce
bolster bolster
countdown count_down
percolate percolate
sprayer spray
demythologisation demythologise
gusher gush
flop flop
grate grate
pickup pick_up
omission omit
synchronisation synchronise
lighter light
satellite satellite
impinging impinge
plump plump
quantization quantize
bugler bugle
anathematization anathematise
supplanter supplant
spot_check spot-check
overstatement overstate
irrigation irrigate
information inform
privatisation privatise
caption caption
reek reek
mystifier mystify
rejoicing rejoice
trumping trump
trade-in trade_in
sneer sneer
charcoal charcoal
shrinking shrink
digest digest
snowboard snowboard
retroflexion retroflex
repetition repeat
fly fly
turnover turn_over
answerer answer
absolver absolve
smock smock
fumigator fumigate
study study
restitution restitute
gourmand gourmandize
daubing daub
parrot parrot
melting melt
abscondment abscond
rental rent
guard guard
cleanup clean_up
sublimation sublimate
skier ski
suffocation suffocate
button button
urtication urticate
fender fend
cannulization cannulise
amelioration ameliorate
gurgle gurgle
commercialisation commercialise
welsher welsh
interpreter interpret
reprint reprint
water_ski water_ski
smudge smudge
dawdling dawdle
employee employ
indictment indict
bay bay
failing fail
gel gel
gasification gasify
cub cub
servant serve
lyric lyric
nurturance nurture
flirt flirt
speller spell
glaze glaze
tow tow
habit habit
dismemberment dismember
levitation levitate
molter molt
retractor retract
smarting smart
wastage waste
precipitant precipitate
joining join
popularization popularize
dissolvent dissolve
repairer repair
duplicate duplicate
orchestrator orchestrate
caroler carol
careen careen
estimate estimate
bosom bosom
absorption absorb
bacterium bacterise
skipper skip
administrator administrate
blusterer bluster
disarming disarm
nationalisation nationalise
blot blot
bastinado bastinado
section section
scud scud
dogma dogmatize
modernisation modernise
summer summerize
articulation articulate
true true
score score
unionization unionize
persistence persist
forbearance forbear
tie tie
woman womanise
clearing clear
indent indent
warehouser warehouse
rebound rebound
liar lie
seller sell
advocate advocate
brooder brood
blossom blossom
cataloguer catalogue
adulterant adulterate
specifier specify
figuring figure
clown clown
transformation transform
turner turn
professing profess
sorption sorb
growler growl
separatist separate
skid skid
winner win
warping warp
tourer tour
clutch clutch
feathering feather
griever grieve
botch botch
lodger lodge
asphyxia asphyxiate
bluffer bluff
batch batch
divorcement divorce
decrepitation decrepitate
versifier versify
investigator investigate
plan plan
benefice benefice
broker broker
cumulation cumulate
smooching smooch
blinker blink
tar tar
nutrition nutrify
abolishment abolish
climate acclimatize
cross cross
revival revive
disenfranchisement disenfranchise
informer inform
breakfast breakfast
meld meld
bell bell
decompression decompress
planter plant
pilferage pilfer
monitor monitor
alkalizer alkalize
defamation defame
lynching lynch
introvert introvert
quiet quiet
arraignment arraign
chrome chrome
warbler warble
tinkerer tinker
seesaw seesaw
hummer hum
civilisation civilise
sprawling sprawl
enthrallment enthrall
Tantalus tantalize
inlay inlay
mantle mantle
puzzlement puzzle
bird bird
miaow miaow
feelings feel
deponent depone
demotion demote
strafe strafe
splutter splutter
processor process
jotting jot
camouflage camouflage
bilge bilge
conversion convert
sophistication sophisticate
Mesmer mesmerise
nettle nettle
notification notify
rocketry rocket
standby stand_by
muckraking muckrake
article article
stutterer stutter
line line
lamenter lament
trepan trepan
disinheritance disinherit
framer frame
demand demand
copper copper
screaming scream
fault fault
avoidance avoid
depilation depilate
tweeter tweet
dedifferentiation dedifferentiate
jilt jilt
entrant enter
waiter wait
radiance radiate
detail detail
systemiser systemise
expending expend
military militarise
sustainer sustain
terror terrorize
rediscovery rediscover
spot-welder spot-weld
prescription prescribe
litigation litigate
pushing push
tether tether
fit fit
item itemize
forfeiture forfeit
vamper vamp
stymie stymie
canalisation canal
aggregate aggregate
veering veer
look look
hoofer hoof
scruple scruple
fowler fowl
crow crow
ghetto ghettoize
shoveler shovel
reformist reform
skin-dive skin-dive
love love
planting plant
knockout knock_out
paragraph paragraph
target target
terrace terrace
absconder abscond
summary summarise
vilifier vilify
soaring soar
link link
dispensary dispense
sin sin
consummation consummate
abidance abide
dribbler dribble
delegation delegate
transactor transact
ticktock ticktock
distribution distribute
activator activate
excuse excuse
antique antique
sandbagger sandbag
vulcanizer vulcanize
rationalisation rationalise
sodomy sodomize
graze graze
telecommunication telecommunicate
subsidization subsidize
raster rasterize
wave wave
reparation repair
discolouration discolour
cross-index cross-index
misestimation misestimate
bombardment bombard
remount remount
titration titrate
subversion subvert
train train
equilibrium equilibrate
systematisation systematise
robber rob
hooking hook
instruction instruct
diversion divert
site site
scorn scorn
dwarf dwarf
crenel crenellate
evolution evolve
circle circulate
Hoover hoover
disappearance disappear
retread retread
undercut undercut
hang hang
map map
waker wake
dodge dodge
yell yell
sinning sin
fortification fortify
interpreting interpret
chanting chant
contractor contract
assist assist
shears shear
affront affront
evisceration eviscerate
folk_dancing folk_dance
word word
mumbling mumble
dam dam
finder find
buff buff
snicker snicker
murmurer murmur
eater eat
republication republish
wheeling wheel
indexing index
reset reset
burp burp
teetotaller teetotal
liquefaction liquefy
provider provide
constituent constitute
motion motion
tracking track
acclimation acclimate
sculpture sculpt
billet billet
divider divide
prate prate
dissimilation dissimilate
hurrying hurry
lacquer lacquer
harbour harbour
juncture join
boot boot
pressure pressurize
emancipator emancipate
corrosion corrode
demonstrator demonstrate
standard standardise
driver drive
accession access
pargeting parget
utterer utter
moaner moan
lurker lurk
masculinization masculinize
contracting contract
malediction maledict
announcement announce
powwow powwow
butt_weld buttweld
duelist duel
slumberer slumber
savage savage
difference differentiate
brewery brew
womanizer womanize
causation cause
slayer slay
secondment second
dislocation dislocate
drip drip
tamp tamp
stowing stow
curve curve
step-up step_up
peeing pee
pardoner pardon
bunter bunt
abstention abstain
transliteration transliterate
infusion infuse
intercession intercede
selling sell
combining combine
advertiser advertise
dent dent
begetter beget
verse verse
refiner refine
quelling quell
rigidification rigidify
centering center
instalment instal
defalcation defalcate
scorch scorch
taxation tax
canvasser canvass
solicitation solicit
retention retain
arranger arrange
possessor possess
desalinization desalinize
bailee bail
abbreviation abbreviate
walkover walk_over
void void
sailplane sailplane
lilt lilt
impeachment impeach
booking book
boundary bound
shirker shirk
mark mark
transcendency transcend
faultfinder find_fault
trephination trephine
worry worry
wet wet
shelver shelve
invite invite
chant chant
preachment preach
systemizer systemize
sandbag sandbag
defacement deface
yodeling yodel
hydroplane hydroplane
shuffler shuffle
tabulation tabulate
trekker trek
backlog backlog
warrior war
weaning wean
self-destruction self-destroy
superintendence superintend
transmittal transmit
saddle saddle
spill spill
trowel trowel
migrator migrate
ribbing rib
factorisation factorise
decalcification decalcify
breakthrough break_through
fullback fullback
shy shy
bulge bulge
wharf wharf
ambusher ambush
acetyl acetylize
finger finger
centrifuge centrifugate
instance instance
hush hush
deformation deform
fog fog
socialiser socialise
dinner dine
feeding feed
beach beach
accomplishment accomplish
gold_plate goldplate
charm charm
passage pass
objector object
stonewalling stonewall
misuse misuse
vegetation vegetate
apprisal apprise
hazard hazard
layer layer
alcohol alcoholize
cage cage
riveter rivet
adjuration adjure
scrawl scrawl
position position
stomp stomp
carving carve
hopper hop
sucker suck
ambler amble
brooch brooch
froth froth
carpenter carpenter
egression egress
munch munch
odor odourise
discord discord
atomisation atomise
lash lash
baking bake
abstainer abstain
sketcher sketch
subeditor subedit
striation striate
bung bung
partitioning partition
reproduction reproduce
conducting conduct
tram tram
overvaluation overvalue
alarmist alarm
memory memorize
bite bite
handstamp handstamp
dragoon dragoon
page page
queue queue
disinfectant disinfect
disposition dispose
border border
coast coast
paw paw
amplifier amplify
vapor vaporize
deciding decide
ministrant minister
indication indicate
circularization circularize
peril peril
crenel crenelate
gilder gild
gleam gleam
mandatory mandate
victualer victual
tapping tap
streaker streak
acculturation acculturate
tack tack
diversification diversify
assault assault
bootlicker bootlick
intonation intonate
flicker flicker
regard regard
enfeeblement enfeeble
unfolding unfold
stooge stooge
authorizer authorize
crafter craft
stumbler stumble
shingler shingle
marking mark
sledge sledge
crowing crow
quarrel quarrel
honeymooner honeymoon
seepage seep
collaborator collaborate
vote vote
graduation graduate
tamponage tampon
exercise exercise
gibbet gibbet
glycerol glycerolize
dissolve dissolve
surfboard surfboard
speed speed
obstructer obstruct
wank wank
mastery master
enlistee enlist
butcher butcher
purveyor purvey
rebate rebate
squall squall
atom atomize
grasp grasp
over-crowding overcrowd
filler fill
governance govern
deployment deploy
aspirant aspire
powder powder
position posit
appeaser appease
herder herd
stopper stop
devolvement devolve
stone stone
unionisation unionise
sibilation sibilate
essayer essay
vermiculation vermiculate
educatee educate
consultation consult
muncher munch
desynchronizing desynchronize
tinsel tinsel
cuckold cuckold
admission admit
hookup hook_up
ruining ruin
assignation assign
concord concord
monitoring monitor
instance instantiate
shirring shirr
treadle treadle
sag sag
striking strike
mitigation mitigate
whelk whelk
photostat photostat
misdating misdate
restraint restrain
descendent descend
crouch crouch
pupa pupate
fomentation foment
abhorrence abhor
profile profile
worshiper worship
layoff lay_off
breaker break
hanging hang
impingement impinge
deterioration deteriorate
anathematisation anathematise
recital recite
blast blast
field_test field-test
monger monger
splashing splash
luxury luxuriate
aper ape
babble babble
yarn yarn
blusher blush
guzzling guzzle
prickling prickle
blender blend
monopolist monopolize
reappraisal reappraise
gibberish gibber
repatriate repatriate
transplanter transplant
bob bob
gore gore
Crusader crusade
emanation emanate
portrayal portray
frosting frost
fumigation fumigate
lapse lapse
coaxer coax
Mesmer mesmerize
specialist specialise
abradant abrade
manicure manicure
obeisance obey
resignation resign
hail hail
learner learn
incisure incise
scheme schematize
patrol patrol
revolution revolutionize
phrase phrase
inoculant inoculate
sledder sled
excreting excrete
extensor extend
debunking debunk
clerk clerk
grey grey
shirt shirt
rethink rethink
enhancer enhance
drooler drool
exile exile
competition compete
obstipation obstipate
rick rick
itch itch
devilry devil
stand-in stand_in
ritual ritualize
inflaming inflame
air aerate
formalization formalize
board board
defrayal defray
typification typify
drunkard drink
normalizer normalize
continuance continue
hamming ham
speaking speak
inmarriage inmarry
dissolving dissolve
star star
hole hole
reinterpretation reinterpret
silence silence
whinny whinny
appropriator appropriate
socialising socialise
trumpeter trumpet
shocker shock
stinker stink
digit digitalize
murmur murmur
analyser analyse
crinkle crinkle
rebuff rebuff
suppresser suppress
jiggle jiggle
clangor clangor
randomisation randomise
bracket bracket
finalisation finalise
sleeping sleep
digitalization digitalize
party party
convention convene
mulch mulch
gesticulation gesticulate
reconsideration reconsider
marble marble
nullification nullify
investment invest
bicycle bicycle
verdigris verdigris
fluster fluster
triumph triumph
container containerise
permeation permeate
assumption assume
pepper pepper
trim trim
swearing swear
dousing douse
feasting feast
burnish burnish
purple purpurate
botheration bother
escape escape
admirer admire
bat_mitzvah bat_mitzvah
remainder remain
lister list
debate debate
gasconade gasconade
lockage lock
botany botanize
pose pose
clench clench
falsifying falsify
tear tear
rupture rupture
care care
jockey jockey
speeder speed
systematization systematize
defalcator defalcate
corroboration corroborate
solidification solidify
revolt revolt
toilet_training toilet-train
print print
complication complicate
tenderisation tenderise
wanker wank
stripe stripe
detoxification detoxify
symphony symphonize
shiver shiver
rescue rescue
creeping creep
coaster coast
thaw thaw
untying untie
conceptualization conceptualize
squirmer squirm
palm palm
pencil pencil
reproval reprove
slider slide
tape tape
calliper calliper
abstracter abstract
speech speechify
mute mute
executing execute
boarder board
gall gall
deference defer
Pretender pretend
renter rent
staple staple
moulting moult
chase chase
reel reel
thrasher thrash
burl burl
acid acidify
radiator radiate
crisscross crisscross
cross-examiner cross_examine
encounter encounter
exorcism exorcize
industrialism industrialize
splash splash
disquiet disquiet
point point
depersonalization depersonalize
endorser endorse
stewing stew
glacier glaciate
pomade pomade
abductor abduct
pair pair
misplacement misplace
elector elect
divergence diverge
obfuscation obfuscate
candle candle
vender vend
swinging swing
jest jest
eluding elude
enclosure enclose
venting vent
court-martial court-martial
script script
sparkle sparkle
disqualification disqualify
abashment abash
highlighting highlight
pilferer pilfer
fencer fence
proration prorate
overexposure overexpose
bleeder bleed
insisting insist
plodder plod
corruption corrupt
wrecker wreck
bight bight
coddler coddle
centralization centralize
Stalinization stalinize
jubilancy jubilate
planer plane
weekend weekend
event eventuate
slide slide
tilling till
author author
mutter mutter
galvanism galvanize
stroll stroll
holdfast hold_fast
minimum minimize
repossession repossess
signalization signalize
landscapist landscape
protuberance protuberate
de-iodination de-iodinate
shitter shit
concrete concrete
whirring whir
eradicator eradicate
plot plot
tanner tan
fording ford
bunch bunch
runoff run_off
settlings settle
rent rent
puzzler puzzle
detribalization detribalize
deregulating deregulate
determiner determine
precis precis
strafer strafe
timing time
tutelage tutor
ignitor ignite
aestivation aestivate
grouping group
woolgathering woolgather
ferry ferry
employ employ
crowding crowd
titrator titrate
lament lament
scheme scheme
whaler whale
catheterisation catheterise
urging urge
census census
aspiration aspire
postulation postulate
bull bull
advance advance
currier curry
saint sanctify
blaster blast
trencher trench
forced_feeding force-feed
wringer wring
fossilization fossilize
whitewash whitewash
blitz blitz
police police
cache cache
revolution revolutionise
skydiver sky_dive
depression depress
plication plicate
antecedence antecede
country-dance country-dance
run run
excommunication excommunicate
tap tap
standard standardize
framing frame
sham sham
ruggedization ruggedize
misdeal misdeal
shepherd shepherd
diffraction diffract
babbling babble
gag gag
sniveller snivel
defoliator defoliate
inverter invert
snorer snore
bogey bogey
necking neck
polisher polish
clone clone
roping rope
computer compute
cannon cannon
filet filet
sliver sliver
scar scarify
passing pass
buyer buy
read read
avalanche avalanche
shunning shun
scratch scratch
grime grime
conscript conscript
preface preface
lounge lounge
solemnization solemnize
manumitter manumit
subservience subserve
carper carp
enrollee enroll
annihilation annihilate
counterattack counterattack
